Date,Price,Change
1971,44.60,0.13
1970,38.90,-0.05
1969,41.00,-0.06
1968,43.50,0.18
1967,35.50,0.00
1966,35.40,0.00
1965,35.50,0.00
1964,35.35,0.00
1963,35.25,0.00
1962,35.35,0.00
1961,35.50,-0.03
1960,36.50,0.03
1959,35.25,0.00
1958,35.25,0.00
1957,35.25,0.00
1956,35.20,0.00
1955,35.15,0.00
1955,35.15,0.00
1954,35.25,-0.01
1953,35.50,-0.09
1952,38.70,-0.03
1951,40.00,-0.01
1950,40.25,-0.01
1949,40.50,-0.04
1948,42.00,-0.02
1947,43.00,0.11
1946,38.25,0.03
1945,37.25,0.03
1944,36.25,-0.01
1943,36.50,0.03
1942,35.50,0.00
1941,35.50,0.03
1940,34.50,-0.01
1939,35.00,0.00
1938,35.00,0.00
1937,35.00,0.00
1936,35.00,0.00
1935,35.00,0.00
1934,35.00,0.08
1933,32.32,0.36
1932,20.67,0.00
1931,20.67,0.00
1930,20.67,0.00
1929,20.67,0.00
1928,20.67,0.00
1927,20.67,0.00
1926,20.67,0.00
1925,20.67,0.00
1924,20.67,0.00
1923,20.67,0.00
1922,20.67,0.00
1921,20.67,0.00
1920,20.67,0.00
1919,20.67,0.00
1918,20.67,0.00
1917,20.67,0.00
1916,20.67,0.00
1915,20.67,0.00
1914,20.67,0.00
1913,20.67,0.00
1912,20.67,0.00
1911,20.67,0.00
1910,20.67,0.00
1909,20.67,0.00
1908,20.67,0.00
1907,20.67,0.00
1906,20.67,0.00
1905,20.67,0.00
1904,20.67,0.00
1903,20.67,0.00
1902,20.67,0.00
1901,20.67,0.00
1900,20.67,0.00
1899,20.67,0.00
1898,20.67,0.00
1897,20.67,0.00
1896,20.67,0.00
1895,20.67,0.00
1894,20.67,0.00
1893,20.67,0.00
1892,20.67,0.00
1891,20.67,0.00
1890,20.67,0.00
1889,20.67,0.00
1888,20.67,0.00
1887,20.67,0.00
1886,20.67,0.00
1885,20.67,0.00
1884,20.67,0.00
1883,20.67,0.00
1882,20.67,0.00
1881,20.67,0.00
1880,20.67,0.00
1879,20.67,0.00
1878,20.69,-0.03
1877,21.25,-0.05
1876,22.30,-0.06
1875,23.54,0.02
1874,23.09,0.02
1873,22.74,-0.02
1872,23.19,0.03
1871,22.59,-0.01
1870,22.88,-0.10
1869,25.11,-0.11
1868,27.95,0.00
1867,27.86,-0.01
1866,28.26,-0.07
1865,30.22,-0.56
1864,47.02,0.34
1863,31.23,0.12
1862,27.35,0.24
1861,20.67,0.00
1860,20.67,0.00
1859,20.67,0.00
1858,20.67,0.00
1857,20.71,0.00
1856,20.67,0.00
1855,20.67,0.00
1854,20.67,0.00
1853,20.67,0.00
1852,20.67,0.00
1851,20.67,0.00
1850,20.67,0.00
1849,20.67,0.00
1848,20.67,0.00
1847,20.67,0.00
1846,20.67,0.00
1845,20.67,0.00
1844,20.67,0.00
1843,20.67,0.00
1842,20.69,0.00
1841,20.67,0.00
1840,20.73,0.00
1839,20.73,0.00
1838,20.73,-0.04
1837,21.60,0.04
1836,20.69,0.00
1835,20.69,0.00
1834,20.69,0.06
1833,19.39,0.00
1832,19.39,0.00
1831,19.39,0.00
1830,19.39,0.00
1829,19.39,0.00
1828,19.39,0.00
1827,19.39,0.00
1826,19.39,0.00
1825,19.39,0.00
1824,19.39,0.00
1823,19.39,0.00
1808,19.39,0.00
1807,19.39,0.00
1806,19.39,0.00
1805,19.39,0.00
1804,19.39,0.00
1803,19.39,0.00
1802,19.39,0.00
1801,19.39,0.00
1800,19.39,0.00
